DateTime,Item,Weight (kg),Price/kg,Total
2025-06-15 21:50:02,chickpeace,0.000,300.00,0.00
2025-06-15 22:09:13,chickpeace,0.000,300.00,0.12
2025-06-15 22:09:45,chickpeace,0.327,300.00,98.10
2025-06-15 22:10:13,chickpeace,0.000,300.00,0.00
2025-06-15 22:11:43,chickpeace,0.000,300.00,0.00
2025-06-15 22:13:57,chickpeace,0.046,300.00,13.68
2025-06-15 22:18:18,chickpeace,0.000,300.00,0.00
2025-06-15 22:19:20,chickpeace,0.002,300.00,0.60
2025-06-15 22:24:13,chickpeace,167.240,300.00,50172.00
2025-06-15 22:25:18,chickpeace,0.000,300.00,0.00
2025-06-15 22:34:15,chickpeace,0.000,300.00,0.00
2025-06-15 22:36:26,chickpeace,0.000,300.00,0.00
2025-06-15 22:42:10,chickpeace,0.809,300.00,242.76
2025-06-15 23:07:39,chickpeace,0.000,300.00,0.00
2025-06-15 23:07:59,chickpeace,0.000,300.00,0.00
2025-06-15 23:08:15,chickpeace,0.000,300.00,0.00
2025-06-15 23:08:49,rice,0.000,200.00,0.00
2025-06-15 23:10:24,rice,0.000,200.00,0.00
2025-06-15 23:11:03,rice,0.000,200.00,0.00
2025-06-15 23:11:18,rice,1.967,200.00,393.32
2025-06-15 23:23:36,rice,0.000,200.00,0.00
2025-06-15 23:24:01,rice,0.205,200.00,40.92
2025-06-15 23:24:36,chickpeace,0.163,300.00,49.02
2025-06-15 23:27:03,chickpeace,0.614,300.00,184.14
2025-06-15 23:29:35,rice,0.000,200.00,0.00
2025-06-15 23:30:18,rice,0.000,200.00,0.00
2025-06-15 23:32:09,rice,0.000,200.00,0.00
2025-06-15 23:32:40,chickpeace,264.765,300.00,79429.56
2025-06-15 23:32:54,chickpeace,0.000,300.00,0.00
2025-06-15 23:33:13,chickpeace,335.544,300.00,100663.14
2025-06-15 23:33:32,chickpeace,32.767,300.00,9830.16
2025-06-15 23:34:00,chickpeace,0.000,300.00,0.00
2025-06-15 23:33:56,chickpeace,0.000,300.00,0.00
2025-06-15 23:34:20,chickpeace,335.542,300.00,100662.72
2025-06-15 23:35:03,rice,0.000,200.00,0.00
2025-06-15 23:35:46,rice,0.000,200.00,0.00
2025-06-15 23:36:16,rice,0.000,200.00,0.00
2025-06-15 23:37:07,rice,0.000,200.00,0.00
2025-06-15 23:37:31,rice,0.315,200.00,63.04
2025-06-15 23:43:32,chickpeace,0.449,300.00,134.76
2025-06-15 23:43:53,rice,0.000,200.00,0.00
2025-06-15 23:44:14,chickpeace,0.000,300.00,0.00
2025-06-15 23:44:48,chickpeace,0.000,300.00,0.00
2025-06-15 23:45:04,chickpeace,0.000,300.00,0.00
2025-06-15 23:45:16,chickpeace,0.000,300.00,0.00
2025-06-15 23:45:37,chickpeace,0.000,300.00,0.00
2025-06-15 23:45:50,rice,0.000,200.00,0.00
2025-06-15 23:46:26,rice,0.000,200.00,0.00
2025-06-15 23:46:41,chickpeace,0.000,300.00,0.00
2025-06-15 23:46:52,chickpeace,0.000,300.00,0.00
2025-06-15 23:47:13,rice,0.000,200.00,0.00
2025-06-15 23:47:21,chickpeace,125.157,300.00,37547.16
2025-06-15 23:47:36,chickpeace,0.000,300.00,0.00
2025-06-15 23:47:49,chickpeace,0.000,300.00,0.00
2025-06-15 23:48:00,chickpeace,0.000,300.00,0.00
2025-06-15 23:48:14,chickpeace,0.000,300.00,0.00
2025-06-15 23:49:11,rice,0.000,200.00,0.00
2025-06-15 23:49:57,rice,0.000,200.00,0.00
2025-06-15 23:50:07,chickpeace,335.543,300.00,100663.02
2025-06-15 23:50:23,chickpeace,0.000,300.00,0.00
2025-06-15 23:50:38,chickpeace,0.000,300.00,0.00
2025-06-15 23:50:54,chickpeace,0.000,300.00,0.00
2025-06-15 23:51:05,chickpeace,167.771,300.00,50331.36
2025-06-15 23:51:21,rice,0.471,200.00,94.24
2025-06-16 00:31:30,chickpeace,0.000,300.00,0.00
2025-06-16 00:31:51,chickpeace,0.001,300.00,0.30
2025-06-16 00:32:32,chickpeace,0.001,300.00,0.42
2025-06-16 00:33:16,chickpeace,0.002,300.00,0.60
2025-06-16 00:33:30,chickpeace,0.000,300.00,0.00
2025-06-16 00:33:42,chickpeace,0.006,300.00,1.86
2025-06-16 00:35:06,banana,0.000,120.00,0.00
2025-06-16 00:35:39,banana,0.000,120.00,0.00
2025-06-16 00:35:56,banana,0.003,120.00,0.36
2025-06-16 00:40:24,banana,0.000,120.00,0.00
2025-06-16 00:40:43,banana,0.000,120.00,0.00
2025-06-16 00:42:23,banana,0.000,120.00,0.00
2025-06-16 00:42:47,banana,0.000,120.00,0.00
2025-06-16 00:42:54,banana,0.000,120.00,0.00
